ID,Year,Make,Display Name,Short Name,Media Name,MakeID
338,1997,McLaren,F1 GT,McLaren F1 GT,MCL_F1GT_97,27
340,1987,Ferrari,F40,Ferrari F40,FER_F40_87,13
342,1995,Ferrari,F50,Ferrari F50,FER_F50_95,13
343,1969,Nissan,Fairlady Z 432,Fairlady Z '69,NIS_Fairlady432Z_69,31
344,2003,Nissan,Fairlady Z,Fairlady Z '03,NIS_FairladyZ_03,31
345,1994,Nissan,Fairlady Z Version S Twin Turbo,Fairlady Z '94,NIS_FairladyZvSTwinTurbo_94,31
348,2005,Ford,GT,Ford GT '05,FOR_GT_05,14
353,1992,Volkswagen,Golf Gti 16v Mk2,VW Golf '92,VW_GolfGTi16vMk2_92,52
354,2003,Volkswagen,Golf R32,VW Golf '03,VW_GolfR32_03,52
357,1997,Mitsubishi,GTO,Mitsubishi GTO,MIT_GTO_97,30
358,1984,Ferrari,288 GTO,Ferrari 288 GTO,FER_GTO_84,13
363,1998,SUBARU,Impreza 22B STi,Subaru 22B,SUB_Impreza22b_98,48
364,2004,SUBARU,Impreza WRX STi,Subaru WRX '04,SUB_WRXSTi_04,48
365,2005,SUBARU,Impreza WRX STi,Subaru WRX '05,SUB_WRXSTi_05,48
368,2001,Acura,Integra Type-R,Acura Integra,ACU_IntegraR_01,1
374,2006,Mitsubishi,Lancer Evolution IX MR,Lancer MR '06,MIT_LancerEvoIXMR_06,30
375,1999,Mitsubishi,Lancer Evolution VI GSR,Lancer GSR '99,MIT_LancerEvoVIGSR_99,30
378,2004,Mitsubishi,Lancer Evolution VIII MR,Lancer MR '04,MIT_LancerEvoVIIIMR_04,30
382,1997,BMW,M3,BMW M3 '97,BMW_E36M3_97,6
383,2005,BMW,M3,BMW M3 '05,BMW_E46M3_05,6
391,2004,Maserati,MC12,Maserati MC12,MAS_MC12_04,25
397,2005,Vauxhall,Monaro VXR,Vauxhall Monaro,VAU_MonaroVXR_05,51
398,1995,Toyota,MR2 GT,Toyota MR2 '95,TOY_MR2GT_95,49
405,2000,Ford,SVT Cobra R,Ford Mustang '00,FOR_MustangCobraR_00,14
411,2005,Honda,NSX-R,Honda NSX-R '05,HON_NSXR_05,16
412,1992,Honda,NSX-R,Honda NSX-R '92,HON_NSXR_92,16
417,1987,Buick,Regal GNX,Buick Regal GNX,BUI_RegalGNX_87,7
419,2006,Audi,RS 4,Audi RS 4 '06,AUD_RS4_06,3
420,2003,Audi,RS 6,Audi RS 6 '03,AUD_RS6_03,3
422,2002,Acura,RSX Type-S,Acura RSX,ACU_RSXTypeS_02,1
423,1990,Mazda,Savanna RX-7,Mazda RX-7 '90,MAZ_RX7_90,26
424,1997,Mazda,RX-7,Mazda RX-7 '97,MAZ_RX7_97,26
425,2002,Mazda,RX-7 Spirit R Type-A,RX-7 Spirit R,MAZ_RX7SpiritR_02,26
427,2003,Honda,S2000,Honda S2000,HON_S2000_03,16
432,2004,Saleen,S7,Saleen S7,SAL_S7_04,43
433,2005,TVR,Sagaris,TVR Sagaris,TVR_Sagaris_05,50
439,1992,Nissan,Silvia CLUB K's,Silvia '92,NIS_SilviaK_92,31
440,1994,Nissan,Silvia K's,Silvia '94,NIS_SilviaKs_94,31
441,2000,Nissan,Silvia Spec-R,Silvia '00,NIS_SilviaSpecR_00,31
444,1993,Nissan,Skyline GT-R V-Spec,Nissan GT-R '93,NIS_SkylineGTR_93,31
445,2002,Nissan,Skyline GT-R V-Spec II,Nissan GT-R '02,NIS_SkylineGTRVSpecII_02,31
453,2003,Renault,Sport Clio V6,Renault Clio '03,REN_Clio_03,41
455,1985,Toyota,Sprinter Trueno GT Apex,Toyota Trueno,TOY_Sprinter_85,49
458,1974,Lancia,Stratos HF Stradale,Lancia Stratos,LAN_Stratos_74,22
460,1992,Toyota,Supra 2.0 GT,Toyota Supra '92,TOY_Supra20GT_92,49
461,1998,Toyota,Supra RZ,Toyota Supra '98,TOY_SupraRZ_98,49
477,2001,TVR,Tuscan S,TVR Tuscan,TVR_TuscanS_01,50
483,1999,Dodge,Viper GTS ACR,Dodge Viper '99,DOD_ViperGTSACR_99,11
487,2004,Vauxhall,VX220 Turbo,Vauxhall VX220,VAU_VX220_04,51
489,1993,Jaguar,XJ220,Jaguar XJ220,JAG_XJ220_93,19
513,1969,Dodge,Charger R/T,Dodge Charger '69,DOD_ChargerRT_69,11
565,2002,BMW,M3-GTR,BMW M3-GTR,BMW_M3GTR_05,6
567,1998,Nissan,R390,Nissan R390,NIS_R390_98,31
568,1998,Mercedes-Benz,AMG CLK GTR,M-B CLK-GTR,MER_CLKGTR_98,28
569,2005,Honda,NSX-R GT,Honda NSX-R GT,HON_NSXRGT_05,16
615,2007,Peugeot,207 Super 2000,Peugeot 207 S,PEU_207Super2000_07,36
625,2007,Honda,Civic Type-R,Honda Civic '07,HON_CivicTypeR_07,16
633,1983,Audi,Sport quattro,Audi Quattro,AUD_SportQuattro_83,3
634,1980,Renault,5 Turbo,Renault 5 Turbo,REN_5Turbo_80,41
635,2007,Renault,Clio RS 197,Renault Clio,REN_Clio197_07,41
637,1967,Lamborghini,Miura P400,Lambo Miura,LAM_MiuraP400_67,21
639,1970,Dodge,Challenger R/T,Challenger '70,DOD_ChallengerHemi_70,11
641,1998,Porsche,911 GT1 Strassenversion,Porsche 911 GT1,POR_996GT1_98,39
642,1991,BMW,M3,BMW M3 '91,BMW_M3E30_91,6
1005,1973,Pontiac,Firebird Trans Am SD-455,Pontiac T/A '73,PON_TransAm_73,38
1006,2005,Ferrari,FXX,Ferrari FXX,FER_FXX_05,13
1007,2008,Koenigsegg,CCGT,Koenigsegg CCGT,KOE_CCGT_08,20
1009,2008,Mitsubishi,Lancer Evolution X GSR,Lancer GSR '08,MIT_LancerEvoXGSR_08,30
1011,2008,BMW,M3,BMW M3 '08,BMW_M3E92_08,6
1020,1996,Ferrari,F50 GT,Ferrari F50 GT,FER_F50GT_96,13
1022,2007,Ferrari,430 Scuderia,Ferrari 430 S,FER_F430Scuderia_07,13
1023,1989,Ferrari,F40 Competizione,Ferrari F40 C,FER_F40Competizione_89,13
1032,2007,Alfa Romeo,8C Competizione,Alfa Romeo 8C,ALF_8C_08,54
1033,1990,Chevrolet,Camaro IROC-Z,Chevy Camaro '90,CHE_CamaroIROCZ_90,9
1034,1994,Toyota,Celica GT-Four ST205,Toyota Celica'94,TOY_CelicaST205_94,49
1040,1981,BMW,M1,BMW M1,BMW_M1_81,6
1041,1993,Ford,SVT Cobra R,Ford Mustang '93,FOR_MustangSVTCobraR_93,14
1042,1971,Nissan,Skyline 2000GT-R,Nissan GT-R '71,NIS_Skyline2000GTR_71,31
1043,1997,Nissan,Skyline GT-R V-Spec,Nissan GT-R '97,NIS_SkylineGTRVSpec_95,31
1045,1987,Pontiac,Firebird Trans Am GTA,Pontiac T/A '87,PON_TransAmGTA_87,38
1046,2008,Dodge,Viper SRT10 ACR,Dodge Viper '08,DOD_ViperSRT10ACR_08,11
1059,2008,BMW,Z4 M Coupe,BMW Z4 '08,BMW_Z4MCoupe_08,6
1060,2008,SUBARU,Impreza WRX STI,Subaru WRX '08,SUB_WRXSTi_08,48
1063,1969,Dodge,Charger Daytona HEMI,Charger Daytona,DOD_ChargerDaytona_69,11
1064,1979,Chevrolet,Camaro Z28,Chevy Camaro '79,CHE_CamaroZ28_79,9
1069,2009,Chevrolet,Corvette ZR1,Corvette '09,CHE_CorvetteZR1_09,9
1071,2009,Lexus,IS F,Lexus IS F,LEX_ISF_09,23
1081,2008,James Bond Edition,Aston Martin DBS,AM DBS JB,AST_DBS_09,1000
1086,2009,Ford,Focus RS,Ford Focus '09,FOR_FocusRS_09,14
1090,2009,Mercedes-Benz,SL 65 AMG Black Series,M-B SL65,MER_SL65AMG_09,28
1093,1960,Chevrolet,Corvette,Corvette '60,CHE_Corvette_60,9
1094,2008,Volkswagen,Touareg R50,VW Touareg,VW_TouaregR50_08,52
1098,2009,MINI,John Cooper Works,MINI JCW '09,MIN_JohnCooperWorks_09,29
1101,2009,Vauxhall,Corsa VXR,VauxCorsa '09,VAU_CorsaVXR_09,51
1103,2010,Nissan,370Z,Nissan 370Z,NIS_370Z_10,31
1104,1970,Datsun,510,Datsun 510,NIS_510_70,124
1105,1964,Aston Martin,DB5,AM DB5,AST_DB5Vantage_64,2
1108,1985,Ford,RS200 Evolution,Ford RS200,FOR_RS200Evolution_87,14
1110,1994,Mazda,MX-5 Miata,Mazda MX-5 '94,MAZ_Miata_94,26
1124,1980,Abarth,Fiat 131,Abarth 131,FIA_131AbarthStradale_80,90
1125,2008,Lamborghini,Reventón,Lambo Reventón,LAM_Reventon_08,21
1126,2009,BMW,M5,BMW M5 '09,BMW_M5_09,6
1130,2011,McLaren,12C Coupé,McLaren 12C,MCL_MP412C_11,27
1131,2009,Ferrari,458 Italia,Ferrari 458,FER_F142_10,13
1150,1965,Alfa Romeo,Giulia Sprint GTA Stradale,Alfa Romeo GTA,ALF_GTA_65,54
1154,1957,Ferrari,250 Testa Rossa,Ferrari 250 TR,FER_250TestaRossa_57,13
1155,1965,Shelby,Cobra Daytona Coupe,Shelby Daytona,SHE_CobraDaytona_65,47
1171,2010,Ferrari,599XX,Ferrari 599XX,FER_599XX_10,13
1173,2010,Lamborghini,Murciélago LP 670-4 SV,Lambo Murciélago,LAM_LP6704SV_10,21
1175,2010,Pagani,Zonda R,Pagani Zonda R,PAG_ZondaR_10,34
1181,2010,Aston Martin,One-77,AM One-77,AST_One77_10,2
1184,2009,Audi,RS 6,Audi RS 6 '09,AUD_RS6_09,3
1187,2009,Lotus,2-Eleven,Lotus 2-Eleven,LOT_2Eleven_09,24
1190,2010,Vauxhall,Insignia VXR,Insignia VXR,VAU_InsigniaVXR_10,51
1197,2010,Saleen,S5S Raptor,Saleen S5S,SAL_S5SRaptor_10,43
1202,2011,Mercedes-Benz,SLS AMG,M-B SLS AMG,MER_SLSAMG_11,28
1204,2010,Renault,Megane R.S. 250,Renault Megane,REN_MeganeRS250_10,41
1215,2000,Playground,NULL CAR,NULL CAR,NUL_Car_00,200
1216,2011,Audi,RS 3 Sportback,Audi RS 3,AUD_RS3_11,3
1218,2011,BMW,Z4 sDrive35is,BMW Z4 '11,BMW_Z4_11,6
1219,1992,Bugatti,EB110 Super Sport,Bugatti EB110,BUG_EB110SS_92,58
1220,2010,Audi,TT RS Coupé,Audi TT RS,AUD_TTRS_10,3
1231,2010,Volkswagen,Golf R,VW Golf '10,VW_GolfR_10,52
1245,2010,Morgan,Aero SuperSports,Morgan Aero,MOR_AeroSS_10,64
1246,2010,Mosler,MT900S,Mosler MT900S,MOS_MT900S_10,65
1248,2010,Rossion,Q1,Rossion Q1,ROS_Q1_10,67
1253,2010,Noble,M600,Noble M600,NOB_M600_10,72
1260,2010,Lexus,LFA,Lexus LFA,LEX_LFA_10,23
1264,2010,Renault,Clio R.S.,Renault Clio '10,REN_Clio200Cup_10,41
1267,1971,AMC,Javelin AMX,AMC Javelin,AMC_JavelinAMX_71,76
1268,2002,BMW,Z3 M Coupe,BMW Z3,BMW_MCoupe_02,6
1269,1973,BMW,2002 Turbo,BMW 2002 Turbo,BMW_2002Turbo_73,6
1271,1957,Ferrari,250 California,Ferrari 250 Cali,FER_250GT_60,13
1272,1992,Ford,Escort RS Cosworth,Ford Escort '92,FOR_EscortRSCosworth_92,14
1273,1997,Honda,Civic Type R,Honda Civic '97,HON_CivicTypeR_97,16
1275,2006,Koenigsegg,CCX,Koenigsegg CCX,KOE_CCX_06,20
1276,1977,Pontiac,Firebird Trans Am,Pontiac T/A '77,PON_FirebirdTransAm_77,38
1277,1971,Plymouth,Cuda 426 HEMI,Plymouth Cuda,CHR_Cuda426_71,89
1278,1973,Ford,XB Falcon GT,Ford XB Falcon,FOR_XBFalconGT_73,14
1280,1970,Mercury,Cougar Eliminator,Mercury Cougar,MRC_CougarEliminator_70,79
1281,1955,Porsche,550A Spyder,Porsche 550,POR_550ASpyder_56,39
1282,1993,Nissan,240SX SE,Nissan 240SX,NIS_240SX_94,31
1285,1965,Pontiac,GTO,Pontiac GTO '65,PON_GTO_65,38
1291,1970,Chevrolet,El Camino Super Sport 454,Chevy El Camino,CHE_ElCaminoSS_70,9
1293,1987,Ford,Sierra Cosworth RS500,Ford RS500,FOR_RS500_87,14
1294,1991,GMC,Syclone,GMC Syclone,GMC_Syclone_92,80
1295,1982,Lancia,037 Stradale,Lancia 037,LAN_037Stradale_82,22
1296,1990,Mercedes-Benz,190E 2.5-16 Evolution II,M-B 190E,MER_190E_90,28
1297,1988,Mitsubishi,Starion ESI-R,Starion ESI-R,MIT_Starion_88,30
1299,1983,Volvo,242 Turbo Evolution,Volvo 242 Turbo,VOL_242Turbo_83,53
1300,1964,Chevrolet,Impala Super Sport 409,Chevy Impala,CHE_ImpalaSS_64,9
1301,1956,Jaguar,D-Type,Jaguar D-Type,JAG_DType_56,19
1302,1977,Ford,Escort RS1800,Ford Escort '77,FOR_EscortRS1800_77,14
1304,2010,Maserati,Gran Turismo S,Maserati GT-S,MAS_GranTurismoS_10,25
1309,1969,Pontiac,GTO Judge,Pontiac GTO '69,PON_GTOJudge_69,38
1314,1993,McLaren,F1,McLaren F1,MCL_F1_93,27
1318,1968,Ferrari,365 GTB/4,Ferrari 365 GTB4,FER_365GTB4_68,13
1319,2010,Ferrari,599 GTO,Ferrari 599 GTO,FER_599GTO_11,13
1320,1971,Ford,Mustang Mach 1,Ford Mustang '71,FOR_MustangMach1_71,14
1322,2011,Lamborghini,Gallardo LP 570-4 Superleggera,Lambo Gallardo,LAM_GallardoLP570_11,21
1323,2011,SUBARU,WRX STI,Subaru WRX '11,SUB_WRXSTi_11,48
1328,2011,Bugatti,Veyron Super Sport,Bugatti Veyron,BUG_VeyronSS_11,58
1329,1970,Buick,GSX,Buick GSX,BUI_GSX_70,7
1330,1970,Chevrolet,Camaro Z28,Chevy Camaro '70,CHE_CamaroZ28_70,9
1332,1968,Dodge,Dart HEMI Super Stock,Dodge Dart '68,DOD_Dart_68,11
1336,1969,Oldsmobile,Hurst/Olds 442,Oldsmobile 442,OLD_442_69,82
1338,1968,Pontiac,Firebird,Firebird '68,PON_Firebird_68,38
1345,2006,HUMMER,H1 Alpha,HUMMER H1,HUM_H1Alpha_06,85
1350,2011,BMW,X5 M,BMW X5 M,BMW_X5M_11,6
1354,1966,Chevrolet,Nova Super Sport,Chevy Nova '66,CHE_NovaSS_66,9
1355,1965,Ford,Mustang GT Coupe,Ford Mustang '65,FOR_Mustang_65,14
1367,2003,BMW,M5,BMW M5 '03,BMW_M5E39_03,6
1368,1988,BMW,M5,BMW M5 '88,BMW_M5E28_88,6
1369,2009,Pagani,Zonda Cinque Roadster,Pagani Zonda C,PAG_ZondaCinque_09,34
1370,1995,Audi,RS 2 Avant,Audi RS 2,AUD_RS2_95,3
1372,1931,Bentley,8-Liter,Bentley 8 Liter,BEN_8Litre_31,4
1376,1999,Lotus,Elise Series 1 Sport 190,Lotus Elise '99,LOT_Elise_99,24
1379,1996,Chevrolet,Impala Super Sport,Chevy Impala '96,CHE_ImpalaSS_96,9
1380,1981,Volkswagen,Scirocco S,VW Scirocco '81,VW_SciroccoS_81,52
1381,1992,Mitsubishi,Galant VR-4,Galant VR-4,MIT_GalantVR4_92,30
1382,1990,SUBARU,Legacy RS,Subaru Legacy RS,SUB_LegacyRS_90,48
1383,1998,Volkswagen,GTI VR6 Mk3,VW Golf '98,VW_GTIVR6_98,52
1385,2011,BMW,1 Series M Coupe,BMW 1M,BMW_1M_11,6
1386,1958,Aston Martin,DBR1,AM DBR1,AST_DBR1_58,2
1387,1997,Volvo,850 R,Volvo 850,VOL_850_97,53
1388,2012,BMW,M5,BMW M5 '12,BMW_M5_12,6
1389,2011,Ferrari,FF,Ferrari FF,FER_F151_11,13
1392,2011,Lamborghini,Sesto Elemento,Lambo Sesto,LAM_SestoElemento_11,21
1393,1992,Alfa Romeo,155 Q4,Alfa Romeo 155,ALF_155_92,54
1394,1992,GMC,Typhoon,GMC Typhoon,GMC_Typhoon_93,80
1395,1989,Toyota,MR2 SC,Toyota MR2 '89,TOY_MR2SC_89,49
1396,2011,HSV,GTS,HSV GTS,HOL_HSVGTS_11,138
1397,2011,Koenigsegg,Agera,Koenigsegg Agera,KOE_Agera_11,20
1398,2012,Lamborghini,Aventador LP700-4,Aventador '12,LAM_LP7004_12,21
1417,2011,Audi,RS 5 Coupé,Audi RS 5,AUD_RS5_11,3
1418,1995,BMW,M5,BMW M5 '95,BMW_M5_95,6
1420,1967,Chevrolet,Chevelle Super Sport 396,Chevelle '67,CHE_Chevelle396_67,9
1426,2011,Mazda,RX-8 R3,Mazda RX-8,MAZ_RX8R3_11,26
1427,2012,Pagani,Huayra,Pagani Huayra,PAG_Huayra_12,34
1428,2011,Volkswagen,Scirocco R,VW Scirocco '11,VW_SciroccoR_11,52
1429,1969,Chevrolet,Nova Super Sport 396,Chevy Nova '69,CHE_NovaSS_69,9
1435,1963,Volkswagen,Beetle,VW Beetle,VW_Beetle_66,52
1451,2012,Ascari,KZ1R,Ascari KZ1R,ASC_KZ1R_12,92
1459,1957,Chevrolet,Bel Air,Chevy Bel Air,CHE_BelAir_57,9
1460,2011,Ford,F-150 SVT Raptor,Ford Raptor '11,FOR_SVTRaptor_12,14
1462,1957,Maserati,300 S,Maserati 300 S,MAS_300S_57,25
1477,2011,Ford,Transit SuperSportVan,Ford Transit SSV,FOR_TransitSSV_11,14
1478,1986,Audi,#2 Audi Sport quattro S1,#2 Audi S1,AUD_2_SportQuattro_86,3
1480,1985,Mazda,RX-7 GSL-SE,Mazda RX-7 '85,MAZ_RX7_85,26
1481,1965,Austin-Healey,3000 MKIII,3000 MKIII,AH_3000_65,97
1482,1973,AMC,Gremlin X,AMC Gremlin,AMC_Gremlin_73,76
1485,1954,Jaguar,XK120 SE,Jaguar XK120,JAG_XK120_54,19
1486,1966,Ford,Lotus Cortina,Ford Cortina,LOT_Cortina_66,14
1487,1958,MG,MGA Twin-Cam,MG MGA,MG_MGA_58,98
1489,1962,Triumph,TR3B,Triumph TR3B,TRI_TR3_62,99
1490,2012,Vauxhall,Astra VXR,Vaux Astra '12,VAU_Astra_12,51
1493,1995,BMW,850CSi,BMW 850CSi,BMW_850CSi_96,6
1494,2012,Bowler,EXR S,Bowler EXR S,BOW_NemesisEXR_12,100
1496,2012,Jaguar,XKR-S,Jaguar XKR-S '12,JAG_XKRS_12,19
1500,2012,Mercedes-Benz,C 63 AMG Coupé Black Series,M-B C63,MER_C63AMG_12,28
1509,1959,Cadillac,Eldorado Biarritz Convertible,Cadillac '59,CAD_Eldorado_59,8
1512,1952,Hudson,Hornet,Hudson Hornet,HUD_Hornet_52,101
1514,1973,Mazda,RX-3,Mazda RX-3,MAZ_RX3_73,26
1517,1992,Toyota,Celica GT-Four RC ST185,Toyota Celica'92,TOY_CelicaST185_90,49
1522,2012,Jeep,Wrangler Rubicon,Jeep Wrangler,JEE_Wrangler_12,88
1523,2012,Lotus,Exige S,Lotus Exige S,LOT_ExigeS_12,24
1524,1961,Maserati,Tipo 61 Birdcage,Maserati Tipo 61,MAS_Tipo61_60,25
1525,2012,Mercedes-Benz,SLK 55 AMG,M-B SLK,MER_SLK55AMG_12,28
1529,1973,Ford,Capri RS3100,Ford Capri MkI,FOR_Capri_74,14
1530,1940,Ford,De Luxe Coupe,Ford Coupe '40,FOR_Coupe_40,14
1531,1983,GMC,Vandura G-1500,GMC Vandura,GMC_Vandura_83,80
1532,2012,Hennessey,Venom GT,Hennessey Venom,HEN_VenomGT_12,102
1533,1977,Holden,Torana A9X,Holden Torana,HOL_Torana_77,59
1534,1990,Jaguar,XJ-S,Jaguar XJ-S,JAG_XJS_90,19
1536,1973,Renault,Alpine A110 1600s,Renault A110,REN_AlpineA110_73,41
1537,1974,Toyota,Corolla SR5,Toyota Corolla,TOY_CorollaSR5_73,49
1539,2012,Porsche,911 GT2 RS,911 GT2 RS '12,POR_911GT2_12,39
1542,2012,Porsche,Cayenne Turbo,Porsche Cayenne,POR_Cayenne_12,39
1549,1968,Alfa Romeo,33 Stradale,Alfa Romeo 33S,ALF_33Stradale_68,54
1550,1960,Aston Martin,DB4 GT Zagato,AM DB4 GT,AST_DB4GT_60,2
1558,1956,Lotus,Eleven,Lotus Eleven,LOT_Eleven_56,24
1559,1955,Mercedes-Benz,300 SLR,M-B 300 SLR,MER_300SLR_55,28
1561,1967,Volkswagen,Karmann Ghia,VW Ghia,VW_KarmannGhia_67,52
1562,2013,Dodge,SRT Viper GTS,Dodge Viper '13,VIP_Viper_13,11
1564,1953,Chevrolet,Corvette,Corvette '53,CHE_Corvette_53,9
1568,1974,Honda,Civic RS,Honda Civic '74,HON_CivicRS_74,16
1570,2012,Ferrari,F12berlinetta,Ferrari F12,FER_F12_13,13
1572,1970,AMC,Rebel “The Machine”,AMC Rebel,AMC_Rebel_70,76
1574,1958,Austin-Healey,Sprite MkI,Sprite MkI,AH_Sprite_58,97
1575,1988,Chevrolet,Monte Carlo Super Sport,Chevy MonteCarlo,CHE_MonteCarlo_88,9
1578,1962,Ferrari,250 GT Berlinetta Lusso,Ferrari 250 GT,FER_250GTLusso_63,13
1579,1975,FIAT,X1/9,Fiat X1/9,FIA_X19_75,57
1580,1973,Ford,Escort RS1600,Ford Escort '73,FOR_EscortRS1600_73,14
1581,1956,Ford,F-100,Ford F-100,FOR_F100_56,14
1583,2012,Lamborghini,Aventador J,Aventador J,LAM_AventadorJ_12,21
1585,1968,Lancia,Fulvia Coupé Rallye 1.6 HF,Lancia Fulvia,LAN_Fulvia_68,22
1587,1972,Mazda,Cosmo 110S Series II,Mazda Cosmo,MAZ_Cosmo_72,26
1589,1966,MG,MGB GT,MG MGB,MG_MGB_65,98
1591,1984,Peugeot,205 T16,Peugeot 205 T16,PEU_205T16_84,36
1592,1974,Toyota,Celica GT,Toyota Celica'74,TOY_CelicaGT_74,49
1593,1970,Triumph,TR6 PI,Triumph TR6,TRI_TR6_70,99
1598,2010,BMW,M3 GTS,BMW E92 M3 GTS,BMW_M3GTS_10,6
1599,2012,Ferrari,599XX Evolution,Ferrari 599XX E,FER_599XXEvolution_12,13
1601,2012,Lamborghini,Gallardo LP570-4 Spyder Performante,Gallardo Spyder,LAM_GallardoLP570Spyder_12,21
1605,2012,Shelby,1000,Shelby 1000,SHE_1000_12,47
1607,2013,Audi,RS 4 Avant,Audi RS 4 '13,AUD_RS4Avant_13,3
1613,1949,Mercury,Coupe,Mercury Coupe,MRC_Coupe_49,79
1615,1969,FIAT,Dino 2.4 Coupe,Fiat Dino,FIA_DinoCoupe_69,57
1619,1967,Mercedes-Benz,280 SL,M-B 280 SL,MER_280SL_67,28
1624,2006,HUMMER,H1 Alpha Open Top,HUMMER Open Top,HUM_H1AlphaOpenTop_06,85
1625,2014,Lamborghini,Urus Concept,Lamborghini Urus,LAM_Urus_12,21
1626,2012,Cadillac,Escalade ESV,Caddy Escalade,CAD_Escalade_12,8
1627,2013,Mercedes-Benz,G 65 AMG,M-B G 65,MER_G65AMG_13,28
1636,2012,Aston Martin,Vanquish,AM Vanquish,AST_Vanquish_13,2
1651,2013,Ariel,Atom 500 V8,Ariel Atom,ARI_Atom_13,107
1652,2013,Caterham,Superlight R500,Caterham R500,CAT_R500_13,109
1653,2013,KTM,X-Bow R,KTM X-Bow,KTM_XBow_13,108
1654,2013,Ford,Shelby GT500,Ford Mustang '13,FOR_MustangGT500_13,14
1655,2013,SUBARU,BRZ,Subaru BRZ,SUB_BRZ_13,48
1658,2013,Mercedes-Benz,A 45 AMG,M-B A45,MER_A45AMG_13,28
1661,1986,Lancia,Delta S4,Lancia Delta S4,LAN_DeltaS4_86,22
1662,1965,MINI,Cooper S,MINI '65,MIN_CooperS_65,29
1665,2011,DS Automobiles,DS 3 Racing,DS 3 Racing '11,CIT_DS3Racing_11,178
1667,2013,McLaren,P1,McLaren P1,MCL_P1_13,27
1668,1969,Ford,Mustang Boss 302,Ford Mustang '69,FOR_MustangBoss302_69,14
2002,2012,Nissan,GT-R Black Edition,Nissan GT-R '12,NIS_GTR_12,31
2003,2012,MINI,John Cooper Works GP,MINI JCW '12,MIN_JCWGP_13,29
2004,2013,Mazda,MX-5,Mazda MX-5 '13,MAZ_MX5_13,26
2005,2009,Honda,S2000 CR,Honda S2000,HON_S2000CR_09,16
2006,1995,Chevrolet,Corvette ZR-1,Corvette '95,CHE_CorvetteZR1_95,9
2007,2013,Toyota,GT86,Toyota GT86,TOY_GT86_13,49
2009,2013,Audi,RS 7 Sportback,Audi RS 7,AUD_RS7_13,3
