Name,Type
DriftHeadMotionStrength,Float
DriftHeadMotionLookSpeed,Float
DriftHeadMotionRange,Float
Map,Int
CameraAngle,Float
TractionControl,Int
ColorblindMode,Int
InitialExperienceState,Int
TotalSkills,Int
Horns,Int
Crowds,Int
HDRSaturation,Float
NumSkillTokens,Int
Color,Int
Captions,Int
Focus,Int
NumUltimateSpeeds,Int
NumUltimateJTurns,Int
NumUltimateWreckages,Int
AvgLeftFrontTireTemp,Float
TotalRepairs,Int
HomespaceTrackId,Int
AvgLeftFrontSuspensionStroke,Float
LastMultiplayerCar,Int
AvgRightRearTireLoad,Float
NumKingGames,Int
CurrentCampaign,Int
NumUltimateEDrifts,Int
HueShift,Int
MaxLeftRearTireTemp,Float
TimeInAuctionHouse,Int
ColorGradingDeut,Int
LiveryBackgroundState,Int
ColorGradingTrit,Int
AvgRightFrontSuspensionStroke,Float
HDRWhitePoint,Float
HorizonLifeConnectionPreference,Int
NumLinearPlayRaces,Int
LongestJump,Float
CurrentRaceId,Int
LongestDrift,Float
HighestSkillScore,Int
CareerCar,Int
LastAccoladePointUploaded,Int
Flags,Int
RivalsCompletionTracking,Int
PlayerCardTitleId,Int
WasRateGamePopupShown,Int
HDRBrightness,Float
SubtitlesTextSize,Int
Braking,Int
Temperature,Int
SubtitlesHighlightKeywords,Int
VOVolume,Int
PrivateLicensePlate,Int
UIVolume,Int
MenuMusic,Int
PlaybackSystem,Int
AvgRightFrontTireTemp,Float
MaxRightFrontTireTemp,Float
MaxLeftFrontTireLoad,Float
SamplingMode,Int
NumUltimateDrafts,Int
Subtitles,Int
IsXPIntroduced,Int
FocusMode,Int
ShowroomControllerTutorialComple,Int
DistanceDriven,Float
ColorGradingProt,Int
SuggestedLine,Int
LFEVolume,Int
Creatures,Int
MasterVolume,Int
AvgLeftRearTireLoad,Float
LastMessageCenterDay,Int
ScreenReaderPlatformOverride,Int
RaceStatsId,Int
TractionAndStabilityControl,Int
TotalCredits,Int
NumInfectedGames,Int
SatNavVolume,Int
RadioVolume,Int
NumUltimateNearMisses,Int
MaxRightRearTireTemp,Float
TokensHidden,Int
AvgLeftRearSuspensionStroke,Foat
NumUltimateAirs,Int
InvertVerticalCamera,Bool
ShowroomCarColor,Int
MaxRightRearSuspensionStroke,Float
RadioDJ,Int
LastLogIn,Int
CarLights,Int
TimeInShowroomNatal,Int
NumUltimatePasses,Int
GPSVoice,Int
LastRewardedLevel,Int
AvgBrakingGs,Float
MaxBrakingGs,Float
IsCreditsIntroduced,Int
TimeInStorefront,Int
CareerCoopPrivacy,Int
TimeAccelerating,Int
TotalDrivatarPayout,Int
PreviousLogIn,Int
DamageFuelWear,Int
AuctionsOpen,Int
SFXFocus,Int
TotalStorefrontPayout,Int
TimeDrivenInFreeroam,Int
LastMultiplayerTrack,Int
NumUltimateOneEighties,Int
PerfectAutocrossCount,Int
Brightness,Float
DriverModelId,Int
MasterGameVolume,Int
IsUltimateVip,Int
MaxLateralGs,Float
ShutterSpeed,Float
HighestSkillCar,Int
Rewind,Int
TopSpeed,Float
AvgLateralGs,Float
AvgLeftFrontTireLoad,Float
TimeDriven,Int
SoloGameSpeed,Float
LastMessageCenterMonth,Int
NumPodiums,Int
NumRaces,Int
TimeInAllMenus,Int
CarCollisions,Int
XPBoostEndDate,Int
SignLanguageMode,Int
MaxLeftRearTireLoad,Int
BokehShape,Int
Drivers,Int
AvgRightRearTireTemp,Float
Level,Int
CurrentMiniCareerId,Int
Steering,Int
LastSuspendTimestamp,Int
Exposure,Float
Sepia,Float
HDRExposure,Float
TimeBraking,Int
UpTime,Int
CurrentNumberOfMessagesDownloade,Int
Contrast,Float
Credits,Int
TotalWinnings,Int
AIDiff,Int
InitialSetupComplete,Int
NumVictories,Int
MouseFreeLook,Int
AvgRightRearSuspensionStroke,Float
LayerGroupImportCount,Int
NumUltimateTwoWheels,Int
InRaceMusic,Int
Shifting,Int
CarVolume,Int
NumUltimateDrifts,Int
StreamerMode,Int
TireVolume,Int
IsVip,Int
UseDefaultEffects,Int
MaxRightFrontTireLoad,Float
AvgRightFrontTireLoad,Float
MaxLeftFrontTireTemp,Float
CurrentEventId,Int
AudioPreset,Int
TimeInPaintShop,Int
MaxRightFrontSuspensionStroke,Float
NumUltimateBurnouts,Int
SFXVolume,Int
ShowroomCar,Int
SubtitlesBackgroundOpacity,Int
Aperture,Float
AvgLeftRearTireTemp,Float
Vignette,Float
TimeInUpgrades,Int
NumAuctionHouseTransactions,Int
MajorCollisions,Int
MaxAccelerationGs,Float
TimeInTestDrive,Int
MaxRightRearTireLoad,Float
ClassRestriction,Int
TotalXP,Int
MetaDiff,Int
AudioDescriptions,Int
AvgAccelerationGs,Float
StabilityControl,Int
TimeInShowroomController,Int
MaxLeftRearSuspensionStroke,Float
Gamma,Float
PartyPrivacy,Int
BidsOutstanding,Int
OnlineWinnings,Int
MaxLeftFrontSuspensionStroke,Float
VoiceChatSTTPlatformOverride,Int
MessageCenterVisits,Int
PlayerCardBadgeId,Int
LicensePlateValidationError,Int
ShowroomKinectTutorialCompleted,Int
PublicLicensePlate,Int
RoadTripLocation,Int
VoiceChatTTSPlatformOverride,Int
TimeInTuning,Int
XP,Int
OnlineRoadTripDestsCompleted,Int
OnlineTimeSpentNotAsKing,Int
DriftZonesTriggered,Int
RivalsBeaten,Int
BarnFinds,Int
RaceEncountersEntered,Int
HorizonFinalProgress,Int
CarChampionshipEventsWon,Int
ShowcasesWon,Int
RaceEncountersWon,Int
ProgressToFinalShowcase,Int
DangerSignsTriggered,Int
OnlineTimesInfected,Int
OnlineRacesWon,Int
CarsInGarage,Int
NumCleanOvertakes,Int
OnlineInfectedGamesWon,Int
TrailBlazersTriggered,Int
DestinationsVisited,Int
WristbandLevel,Int
DiscountBoardsSmashed,Int
RoadsDiscovered,Int
RoadTripEventsCompleted,Int
NumberOfFlagsStolenFromYou,Int
RoadTripPartiesAttended,Int
CreditsEarnedFromRivals,Int
NumberOfFlagsDeniedByYou,Int
CampaignSlotExhibitionsCompleted,Int
SpeedTrapsTriggered,Int
GarageValue,Int
OnlineXP,Int
MediumValueBoardsSmashed,Int
HighestNumCollisionsInRace,Int
OnlineTimesYouInfectedOthers,Int
nceStage,Int
